275486000,8709767,"CEG UNIVERSE","YLOQ","LG","MER",65,11,6,6,0.0,"Under way using engines","2023-06-01 04:00:15",53.8695,-5.63924,9.1,18.2,1.0,1.0,0.0,"","2023-06-02 02:00:00",0,0
232004516,7110555,"ADMIRAL DAY","GPES","UK","MER",38,9,18,3,0.0,"Moored","2023-06-01 04:00:16",53.2911,-2.8954,0.0,-1.0,1.0,1.0,0.0,"","2023-05-09 11:30:00",0,0
249332000,9395989,"ARSLAND","9HPR9","MT","TNK",144,23,29,5,3.6,"Under way using engines","2023-06-01 04:00:16",53.2873,-2.86353,0.0,349.0,1.0,1.0,0.0,"","2023-05-26 07:00:00",0,0
233558000,8501517,"CORYSTES","GHRU","UK","",53,12,25,6,0.0,"Under way using engines","2023-06-01 04:00:16",53.8725,-3.38262,2.7,241.9,1.0,1.0,0.0,"","2023-06-03 15:00:00",0,0
235076847,9464883,"PACIFIC GREBE","2CYN8","UK","MER",104,18,27,18,0.0,"Moored","2023-06-01 04:00:16",54.1002,-3.2119,0.0,181.2,1.0,1.0,0.0,"","2023-05-08 13:00:00",0,0
244870000,9439474,"SCHELDEBANK","PBJM","NL","MER",90,14,7,3,0.0,"At anchor","2023-06-01 04:00:16",54.6983,-5.63667,0.0,115.0,1.0,1.0,0.0,"","2023-05-29 07:00:00",0,0
438000195,9372688,"UR","JYA42","JO","MER",142,23,120,22,0.0,"Under way using engines","2023-06-01 04:00:16",53.8348,-4.00962,16.3,248.5,1.0,1.0,0.0,"","2023-06-01 10:40:00",0,0
235101329,9569023,"MASTERMAN","2GXM9","UK","TUG",25,9,14,7,0.0,"Under way using engines","2023-06-01 04:00:17",54.6107,-5.91316,0.0,350.2,1.0,1.0,0.0,"","2023-11-15 17:15:00",0,0
235080803,0,"AYESHA OF ST MAWES","2DOU8","UK","",0,0,0,0,0.0,"Unknown / Not Available","2023-06-01 04:00:18",51.7118,-5.0394,0.0,17.1,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
357707000,8616609,"OCEAN RELIANCE","HP6391","PM","MER",86,14,76,8,0.0,"Restricted manoeuvrability","2023-06-01 04:00:18",54.0268,-3.84217,4.4,270.8,1.0,1.0,0.0,"YANGPU","2023-06-01 02:00:00",0,0
235029179,0,"TIMM 4","MJXC5","UK","PLS",15,4,1,1,0.0,"Unknown / Not Available","2023-06-01 04:00:19",51.4885,-2.76116,0.0,18.7,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
232028316,9769398,"SVITZER TRIDENT","MHOM5","UK","TUG",28,10,16,5,0.0,"Moored","2023-06-01 04:00:19",53.4282,-3.00625,0.0,221.7,1.0,1.0,0.0,"","2023-05-24 17:30:00",0,0
235003598,8556005,"STRATHYRE","VSLJ3","UK","FSH",18,6,8,3,0.0,"Engaged in fishing","2023-06-01 04:00:20",55.2128,-5.09752,3.4,59.1,1.0,1.0,0.0,"","2023-07-20 12:00:00",0,0
244332968,9829007,"THUN LIFFEY","PBWT","NL","TNK",150,23,23,5,0.0,"Moored","2023-06-01 04:00:20",53.3464,-6.20693,0.0,22.2,1.0,1.0,0.0,"","2023-05-31 10:00:00",0,0
235108493,9751793,"NJORD FREYR","2ICD8","UK","HSC",26,9,6,4,0.0,"Under way using engines","2023-06-01 04:00:20",54.0945,-3.22763,0.0,43.8,1.0,1.0,0.0,"","2023-05-31 18:00:00",0,0
304631000,9361718,"NICOLA L","V2HW7","AC","MER",90,15,7,9,0.0,"Under way using engines","2023-06-01 04:00:20",51.2173,-3.38597,0.3,298.6,1.0,1.0,0.0,"","2023-05-30 06:00:00",0,0
235004420,8773225,"FEAR NOT II CN354","GFXT","UK","FSH",0,0,0,0,0.0,"Engaged in fishing","2023-06-01 04:00:21",55.2304,-5.05774,3.0,237.0,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
311404000,9244116,"EUROPEAN HIGHLANDER","C6SN6","BF","PSG",161,25,132,16,0.0,"Under way using engines","2023-06-01 04:00:21",55.0056,-5.32221,18.1,64.9,1.0,1.0,0.0,"","2023-06-01 06:00:00",0,0
232028316,9769398,"SVITZER TRIDENT","MHOM5","UK","TUG",28,10,16,5,0.0,"Moored","2023-06-01 04:00:22",53.4282,-3.00625,0.0,221.7,1.0,1.0,0.0,"","2023-05-24 17:30:00",0,0
232033343,0,"X-11 UNCREWED","MIRG4","UK","",0,0,0,0,0.0,"Unknown / Not Available","2023-06-01 04:00:22",53.9795,-4.00993,1.3,55.3,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
235063854,9412397,"SVITZER WATWICK","2AXZ9","UK","TUG",34,18,22,11,0.0,"Moored","2023-06-01 04:00:23",51.6989,-4.96862,0.1,299.1,1.0,1.0,0.0,"","2023-09-28 09:00:00",0,0
235115518,0,"EL PARADISO","2JFR9","UK","",0,0,0,0,0.0,"Unknown / Not Available","2023-06-01 04:00:23",53.344,-6.21583,0.0,337.1,1.0,1.0,0.0,"","1970-01-01 00:00:00",0,0
